Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_300_869,VPWR,li1,408.0200,829.6000,1.800000
FILLER_300_865,VPWR,li1,404.1100,829.6000,1.800000
FILLER_300_853,VPWR,li1,400.6600,829.6000,1.800000
FILLER_300_841,VPWR,li1,395.1400,829.6000,1.800000
FILLER_300_837,VPWR,li1,391.2300,829.6000,1.800000
FILLER_300_825,VPWR,li1,387.7800,829.6000,1.800000
FILLER_300_813,VPWR,li1,382.2600,829.6000,1.800000
FILLER_300_809,VPWR,li1,378.3500,829.6000,1.800000
FILLER_300_797,VPWR,li1,374.9000,829.6000,1.800000
FILLER_300_785,VPWR,li1,369.3800,829.6000,1.800000
FILLER_300_781,VPWR,li1,365.4700,829.6000,1.800000
FILLER_300_769,VPWR,li1,362.0200,829.6000,1.800000
FILLER_300_757,VPWR,li1,356.5000,829.6000,1.800000
FILLER_300_753,VPWR,li1,352.5900,829.6000,1.800000
FILLER_300_741,VPWR,li1,349.1400,829.6000,1.800000
FILLER_300_729,VPWR,li1,343.6200,829.6000,1.800000
FILLER_300_725,VPWR,li1,339.7100,829.6000,1.800000
FILLER_300_713,VPWR,li1,336.2600,829.6000,1.800000
FILLER_300_701,VPWR,li1,330.7400,829.6000,1.800000
FILLER_300_697,VPWR,li1,326.8300,829.6000,1.800000
FILLER_300_685,VPWR,li1,323.3800,829.6000,1.800000
FILLER_300_673,VPWR,li1,317.8600,829.6000,1.800000
FILLER_300_669,VPWR,li1,313.9500,829.6000,1.800000
FILLER_300_657,VPWR,li1,310.5000,829.6000,1.800000
FILLER_300_645,VPWR,li1,304.9800,829.6000,1.800000
FILLER_300_641,VPWR,li1,301.0700,829.6000,1.800000
FILLER_300_629,VPWR,li1,297.6200,829.6000,1.800000
FILLER_300_617,VPWR,li1,292.1000,829.6000,1.800000
FILLER_300_613,VPWR,li1,288.1900,829.6000,1.800000
FILLER_300_601,VPWR,li1,284.7400,829.6000,1.800000
FILLER_300_589,VPWR,li1,279.2200,829.6000,1.800000
FILLER_300_585,VPWR,li1,275.3100,829.6000,1.800000
FILLER_300_573,VPWR,li1,271.8600,829.6000,1.800000
FILLER_300_561,VPWR,li1,266.3400,829.6000,1.800000
FILLER_300_557,VPWR,li1,262.4300,829.6000,1.800000
FILLER_300_545,VPWR,li1,258.9800,829.6000,1.800000
FILLER_300_533,VPWR,li1,253.4600,829.6000,1.800000
FILLER_300_529,VPWR,li1,249.5500,829.6000,1.800000
FILLER_300_517,VPWR,li1,246.1000,829.6000,1.800000
FILLER_300_505,VPWR,li1,240.5800,829.6000,1.800000
FILLER_300_501,VPWR,li1,236.6700,829.6000,1.800000
FILLER_300_489,VPWR,li1,233.2200,829.6000,1.800000
FILLER_300_477,VPWR,li1,227.7000,829.6000,1.800000
FILLER_300_473,VPWR,li1,223.7900,829.6000,1.800000
FILLER_300_461,VPWR,li1,220.3400,829.6000,1.800000
FILLER_300_449,VPWR,li1,214.8200,829.6000,1.800000
