Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_300_841,VGND,li1,395.1400,826.8800,0.000000
FILLER_300_837,VGND,li1,391.2300,826.8800,0.000000
FILLER_300_825,VGND,li1,387.7800,826.8800,0.000000
FILLER_300_813,VGND,li1,382.2600,826.8800,0.000000
FILLER_300_809,VGND,li1,378.3500,826.8800,0.000000
FILLER_300_797,VGND,li1,374.9000,826.8800,0.000000
FILLER_300_785,VGND,li1,369.3800,826.8800,0.000000
FILLER_300_781,VGND,li1,365.4700,826.8800,0.000000
FILLER_300_769,VGND,li1,362.0200,826.8800,0.000000
FILLER_300_757,VGND,li1,356.5000,826.8800,0.000000
FILLER_300_753,VGND,li1,352.5900,826.8800,0.000000
FILLER_300_741,VGND,li1,349.1400,826.8800,0.000000
FILLER_300_729,VGND,li1,343.6200,826.8800,0.000000
FILLER_300_725,VGND,li1,339.7100,826.8800,0.000000
FILLER_300_713,VGND,li1,336.2600,826.8800,0.000000
FILLER_300_701,VGND,li1,330.7400,826.8800,0.000000
FILLER_300_697,VGND,li1,326.8300,826.8800,0.000000
FILLER_300_685,VGND,li1,323.3800,826.8800,0.000000
FILLER_300_673,VGND,li1,317.8600,826.8800,0.000000
FILLER_300_669,VGND,li1,313.9500,826.8800,0.000000
FILLER_300_657,VGND,li1,310.5000,826.8800,0.000000
FILLER_300_645,VGND,li1,304.9800,826.8800,0.000000
FILLER_300_641,VGND,li1,301.0700,826.8800,0.000000
FILLER_300_629,VGND,li1,297.6200,826.8800,0.000000
FILLER_300_617,VGND,li1,292.1000,826.8800,0.000000
FILLER_300_613,VGND,li1,288.1900,826.8800,0.000000
FILLER_300_601,VGND,li1,284.7400,826.8800,0.000000
FILLER_300_589,VGND,li1,279.2200,826.8800,0.000000
FILLER_300_585,VGND,li1,275.3100,826.8800,0.000000
FILLER_300_573,VGND,li1,271.8600,826.8800,0.000000
FILLER_300_561,VGND,li1,266.3400,826.8800,0.000000
FILLER_300_557,VGND,li1,262.4300,826.8800,0.000000
FILLER_300_545,VGND,li1,258.9800,826.8800,0.000000
FILLER_300_533,VGND,li1,253.4600,826.8800,0.000000
FILLER_300_529,VGND,li1,249.5500,826.8800,0.000000
FILLER_300_517,VGND,li1,246.1000,826.8800,0.000000
FILLER_300_505,VGND,li1,240.5800,826.8800,0.000000
FILLER_300_501,VGND,li1,236.6700,826.8800,0.000000
FILLER_300_489,VGND,li1,233.2200,826.8800,0.000000
FILLER_300_477,VGND,li1,227.7000,826.8800,0.000000
FILLER_300_473,VGND,li1,223.7900,826.8800,0.000000
FILLER_300_461,VGND,li1,220.3400,826.8800,0.000000
FILLER_300_449,VGND,li1,214.8200,826.8800,0.000000
FILLER_300_445,VGND,li1,210.9100,826.8800,0.000000
FILLER_300_433,VGND,li1,207.4600,826.8800,0.000000
FILLER_300_421,VGND,li1,201.9400,826.8800,0.000000
FILLER_300_417,VGND,li1,198.0300,826.8800,0.000000
FILLER_300_405,VGND,li1,194.5800,826.8800,0.000000
FILLER_300_393,VGND,li1,189.0600,826.8800,0.000000
FILLER_300_389,VGND,li1,185.1500,826.8800,0.000000
FILLER_300_377,VGND,li1,181.7000,826.8800,0.000000
FILLER_300_365,VGND,li1,176.1800,826.8800,0.000000
FILLER_300_361,VGND,li1,172.2700,826.8800,0.000000
FILLER_300_349,VGND,li1,168.8200,826.8800,0.000000
FILLER_300_337,VGND,li1,163.3000,826.8800,0.000000
FILLER_300_333,VGND,li1,159.3900,826.8800,0.000000
FILLER_300_321,VGND,li1,155.9400,826.8800,0.000000
FILLER_300_309,VGND,li1,150.4200,826.8800,0.000000
FILLER_300_305,VGND,li1,146.5100,826.8800,0.000000
FILLER_300_293,VGND,li1,143.0600,826.8800,0.000000
FILLER_300_281,VGND,li1,137.5400,826.8800,0.000000
FILLER_300_277,VGND,li1,133.6300,826.8800,0.000000
FILLER_300_265,VGND,li1,130.1800,826.8800,0.000000
FILLER_300_253,VGND,li1,124.6600,826.8800,0.000000
FILLER_300_249,VGND,li1,120.7500,826.8800,0.000000
FILLER_300_237,VGND,li1,117.3000,826.8800,0.000000
FILLER_300_225,VGND,li1,111.7800,826.8800,0.000000
FILLER_300_221,VGND,li1,107.8700,826.8800,0.000000
FILLER_300_209,VGND,li1,104.4200,826.8800,0.000000
FILLER_300_197,VGND,li1,98.9000,826.8800,0.000000
FILLER_300_193,VGND,li1,94.9900,826.8800,0.000000
FILLER_300_181,VGND,li1,91.5400,826.8800,0.000000
FILLER_300_169,VGND,li1,86.0200,826.8800,0.000000
FILLER_300_165,VGND,li1,82.1100,826.8800,0.000000
FILLER_300_153,VGND,li1,78.6600,826.8800,0.000000
FILLER_300_141,VGND,li1,73.1400,826.8800,0.000000
FILLER_300_137,VGND,li1,69.2300,826.8800,0.000000
FILLER_300_125,VGND,li1,65.7800,826.8800,0.000000
FILLER_300_113,VGND,li1,60.2600,826.8800,0.000000
FILLER_300_109,VGND,li1,56.3500,826.8800,0.000000
